City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
546,Peachland,CA,81.68,few clouds,49.7665,-119.7357,Wine Stopper B&B
550,Douglas,US,89.53,broken clouds,41.3,-96.167,Hilton Garden Inn Omaha West
554,Kulhudhuffushi,MV,82.65,overcast clouds,6.6221,73.07,Haajy Guest House 1
555,Sindou,BF,77.58,overcast clouds,10.6667,-5.1667,LERABA HOTEL
556,Lethem,GY,79.74,overcast clouds,3.3803,-59.7968,Savannah Inn
559,Barcelos,PT,77.68,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
561,Weiser,US,78.31,overcast clouds,44.251,-116.9693,The Colonial Motel
564,Karwar,IN,77.88,overcast clouds,14.8,74.1333,Netalco Connects
567,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
569,Aitape,PG,78.3,scattered clouds,-3.1374,142.3475,
573,Marrakesh,MA,86.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
578,Kupang,ID,76.1,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
579,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
582,Chalchihuites,MX,84.87,broken clouds,23.4833,-103.8833,Hotel chalchihuites
588,Mangrol,IN,82.44,broken clouds,21.1167,70.1167,Hotel The Royal Honours
591,Biak,ID,76.21,overcast clouds,-0.9131,122.8766,Penginapan Kim
592,Labuhan,ID,78.8,overcast clouds,-6.8844,112.2051,DoubleFAG
596,Lunenburg,CA,75.49,overcast clouds,44.3835,-64.3155,Lunenburg Arms Hotel
598,Bato,PH,76.06,scattered clouds,13.3528,123.3677,Casa de Piedra
601,Harper,LR,76.05,light rain,4.375,-7.7169,Screensaver
604,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
606,Mahibadhoo,MV,82.76,overcast clouds,3.7833,72.9667,Omadhoo Inn
610,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
617,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
622,Caruray,PH,79.2,scattered clouds,10.3094,119.0128,
627,Santa Cruz Cabralia,BR,75.43,clear sky,-16.2781,-39.0247,Puerto Princesa Inn
631,Halifax,CA,75.09,overcast clouds,44.6453,-63.5724,Hotel Halifax
648,Ugoofaaru,MV,82.76,overcast clouds,5.6667,73.0,Ungoofaaru Inn
652,Balabac,PH,81.61,broken clouds,7.9868,117.0645,Batalla’s Lodging House
654,Bubaque,GW,80.82,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
655,Kahului,US,82.98,clear sky,20.8947,-156.47,Maui Seaside Hotel
658,Merauke,ID,76.59,overcast clouds,-8.4667,140.3333,
660,San Andres,CO,80.62,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
661,Rexburg,US,77.43,overcast clouds,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
662,Samarai,PG,80.35,overcast clouds,-10.6167,150.6667,Nuli Sapi
666,Palmer,US,77.77,overcast clouds,42.1584,-72.3287,Wedgewood Motel
669,Saint Anthony,US,77.2,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
672,Port Hawkesbury,CA,76.95,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
674,Niquero,CU,84.79,broken clouds,20.0431,-77.5828,Islazul Niquero
675,Matara,LK,77.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
678,Lhokseumawe,ID,77.97,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
679,Curaca,BR,83.26,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
681,Umm Lajj,SA,88.16,clear sky,25.0213,37.2685,Moon light Furnished Units
683,Jamiltepec,MX,81.72,broken clouds,16.2833,-97.8167,Hotel Cádiz
684,Urucara,BR,75.97,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
688,Makakilo City,US,82.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
