City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Labuhan,ID,2022-06-01 02:58:56,-6.8844,112.2051,84.97,68,67,3.78
157,Villa Carlos Paz,AR,2022-06-01 02:58:56,-31.4241,-64.4978,45.39,37,26,4.0
158,Okha,RU,2022-06-01 02:58:56,53.5739,142.9478,39.04,88,100,17.76
159,Poum,NC,2022-06-01 02:58:57,-20.2333,164.0167,79.09,80,100,4.16
160,Hambantota,LK,2022-06-01 02:58:57,6.1241,81.1185,80.94,94,75,8.05
161,Itaituba,BR,2022-06-01 02:57:14,-4.2761,-55.9836,73.09,95,24,1.66
162,Thompson,CA,2022-06-01 02:58:57,55.7435,-97.8558,39.36,87,100,12.66
163,Karratha,AU,2022-06-01 02:58:58,-20.7377,116.8463,68.13,68,3,14.65
164,Srandakan,ID,2022-06-01 02:58:58,-7.9386,110.2506,83.28,71,97,4.23
165,Kulhudhuffushi,MV,2022-06-01 02:58:58,6.6221,73.07,81.86,77,100,20.65
166,Kutum,SD,2022-06-01 02:58:59,14.2,24.6667,73.89,13,40,3.74
167,Humaita,BR,2022-06-01 02:58:59,-7.5061,-63.0208,77.0,81,79,1.41
168,Saint-Francois,FR,2022-06-01 02:58:59,46.4154,3.9054,46.67,100,6,0.0
169,Moron,AR,2022-06-01 02:59:00,-34.6534,-58.6198,46.15,72,59,2.93
170,Bulgan,MN,2022-06-01 02:59:00,48.8125,103.5347,66.96,38,98,5.82
171,Luderitz,NA,2022-06-01 02:59:01,-26.6481,15.1594,59.02,40,0,4.45
172,Zhoucheng,CN,2022-06-01 02:59:01,35.9122,116.3117,92.66,18,0,14.7
173,Monrovia,LR,2022-06-01 02:59:01,6.3005,-10.7969,77.94,86,24,7.34
174,Lagoa,PT,2022-06-01 02:59:02,39.05,-27.9833,60.33,84,26,17.63
175,Haines Junction,CA,2022-06-01 02:59:02,60.7522,-137.5108,73.35,17,15,9.22
176,Viedma,AR,2022-06-01 02:59:03,-40.8135,-62.9967,43.18,66,63,9.62
177,Puerto Leguizamo,CO,2022-06-01 02:59:03,-0.1934,-74.7819,69.4,99,100,1.12
178,Thinadhoo,MV,2022-06-01 02:59:04,0.5333,72.9333,83.01,72,29,12.68
179,Pangnirtung,CA,2022-06-01 03:00:04,66.1451,-65.7125,23.5,85,70,5.75
180,Namibe,AO,2022-06-01 03:00:05,-15.1961,12.1522,72.45,54,0,4.65
181,Sacramento,US,2022-06-01 02:59:29,38.4666,-121.3177,84.58,24,0,8.05
182,Yar-Sale,RU,2022-06-01 03:00:10,66.8333,70.8333,36.16,60,100,23.31
183,Korla,CN,2022-06-01 03:00:19,41.7597,86.1469,80.69,25,83,20.47
184,Aberdeen,GB,2022-06-01 03:00:05,57.1437,-2.0981,49.19,96,100,5.75
185,Quatre Cocos,MU,2022-06-01 03:00:22,-20.2078,57.7625,71.1,58,48,14.79
186,Awjilah,LY,2022-06-01 03:00:23,29.1081,21.2869,75.4,28,81,9.35
187,Ban Nahin,LA,2022-06-01 03:00:24,18.2418,104.2122,82.6,81,99,1.19
188,Odessa,UA,2022-06-01 03:00:24,46.4775,30.7326,66.67,84,98,10.69
189,Hami,CN,2022-06-01 02:56:10,42.8,93.45,90.59,11,98,8.52
190,Kalangala,UG,2022-06-01 03:00:25,-0.3089,32.225,71.78,67,35,6.76
191,Kirakira,SB,2022-06-01 03:00:25,-10.4544,161.9205,84.25,75,100,7.9
192,Hofn,IS,2022-06-01 03:00:26,64.2539,-15.2082,47.3,85,99,1.3
193,Lower Hutt,NZ,2022-06-01 03:00:26,-41.2167,174.9167,62.51,87,100,27.63
194,Cherskiy,RU,2022-06-01 03:00:26,68.75,161.3,67.01,34,97,15.32
195,Hvide Sande,DK,2022-06-01 03:00:27,56.0045,8.1294,49.95,71,95,4.03
196,Dryden,CA,2022-06-01 03:00:15,49.7833,-92.7503,43.09,93,100,16.11
197,Airai,TL,2022-06-01 03:00:27,-8.9266,125.4092,74.93,52,100,1.39
